Name	Buildcost	Haulingcost	Market sell	Amount on market	Stock in xanadu	Stock in chanuur	Order price	Avg daily volume	Item category	Max output
10MN Afterburner II	1678187.6019478212154375818769	4000	2462993.49	0	0	0	0	945	Module	1516
1200mm Artillery Cannon II	3833832.2840474659847641069819	16000	5222218.78	0	0	0	0	240	Module	1010
150mm Railgun II	490906.68172918632693149332672	4000	899999.0	0	0	0	0	1924	Module	3032
250mm Light Artillery Cannon II	414949.90144124186930589260907	4000	479999.0	60	3750	0	514993.49	403	Module	3032
350mm Railgun II	3561783.7962015065218429361909	16000	3125000.0	0	0	0	0	38	Module	1010
650mm Artillery Cannon II	1317534.2989676841342507291811	8000	1575000.0	0	100	0	0	200	Module	1516
Arkonor Mining Crystal II	392673.92703749960461739991914	8000	499999.99	530	11900	0	513962.50	579	Charge	14783
Bistot Mining Crystal II	367619.41083351639996894886383	8000	436999.99	0	17000	0	0	674	Charge	14783
Co-Processor II	630254.66578438088806049738605	4000	850000.0	0	0	0	0	914	Module	3032
Crokite Mining Crystal II	349872.43086681708916744485493	8000	415998.9	0	16383	0	0	636	Charge	14783
Damage Control II	286052.29330193684256685293734	4000	460000.0	0	0	0	0	8181	Module	3032
Dual 650mm Repeating Cannon II	3156045.4746101882601853105661	16000	4000000.0	69	900	0	4105021.28	93	Module	1010
Dual Light Beam Laser II	377397.71916715892193900642533	4000	540000.0	230	4700	0	549499.90	318	Module	3032
Electron Blaster Cannon II	3129125.3113398366468121817478	16000	3221999.89	100	300	0	4079013.12	62	Module	1010
Energized Armor Layering Membrane II	356955.50036412321929105501187	4000	340000.0	253	3720	0	444307.96	85	Module	3032
Energized Kinetic Membrane II	375385.8416390796785194987973	4000	624999.99	99	1750	0	788999.99	129	Module	3032
Gleam L	226660.91450724122826418498858	800	278999.99	473	2650	0	279000.49	626	Charge	1968
Gravimetric ECM II	829805.6463387750031567229284	4000	1446994.94	346	1200	0	1447872.28	353	Module	1516
Gyrostabilizer II	556381.81829975899323196651184	4000	870000.0	0	0	0	0	3327	Module	3032
Hail M	125.03275085336184382127335593	10.0000	150.37	0	0	0	0	1216889	Charge	3695000
Hammerhead II	656689.20318405684252392591755	8000	914700.0	0	0	0	0	5464	Drone	2365
Hammerhead II	656689.20318405684252392591755	8000	914700.0	0	0	0	0	5464	Drone	2365
Heat Sink II	619012.07347705844685549579396	4000	800000.0	0	0	0	0	1979	Module	3032
Heavy Beam Laser II	1439786.3859426654086178297243	8000	1599994.99	62	250	0	1851969.33	385	Module	1516
Heavy Electron Blaster II	1063644.0219963858753093374249	8000	1345530.35	0	0	0	0	673	Module	1516
Inferno Precision Cruise Missile	396.6860583084712688195107702	40.00	564.98	223000	800000	0	564.98	282310	Charge	2460000
Inferno Rage Torpedo	1196.677206298379033227783431	40.00	1100.0	2019385	0	0	1543.14	146363	Charge	2460000
Ion Blaster Cannon II	3477970.6992840499473673457622	16000	4180065.64	0	0	0	0	147	Module	1010
Jaspet Mining Crystal II	226404.94861992919482889920616	8000	248996.94	0	12500	0	0	383	Charge	14783
Kinetic Deflection Amplifier II	442985.39798101990426188365284	4000	678846.92	334	1000	0	678846.93	214	Module	1516
Large Shield Booster II	781282.57554082063399720855191	8000	910994.0	207	2897	0	959881.53	164	Module	1516
Light Electron Blaster II	310143.12394971638670794673536	4000	434993.53	288	1000	0	434993.54	496	Module	3032
Magnetic Field Stabilizer II	639506.75992743647088700884245	4000	930000.0	0	0	0	0	3759	Module	3032
Medium Armor Repairer II	846949.1397184173815203925879	8000	1434900.0	0	0	0	0	744	Module	1516
Medium Cap Battery II	635352.08294490473414333386141	8000	1159995.0	131	3000	0	1159998.99	291	Module	1516
Medium Capacitor Booster II	685843.37332327250227798203819	8000	977598.99	0	0	0	0	434	Module	1516
Medium Energy Nosferatu II	2720419.4981358407588570504214	4000	3000000.0	29	2730	0	3287668.84	166	Module	1516
Medium Proton Smartbomb II	468362.51750289434813366076423	8000	1199238.84	0	0	0	0	8	Module	1516
Medium Shield Booster II	345709.3801943038385491240001	8000	450000.0	16	6430	0	466970.30	358	Module	3032
Medium Shield Extender II	315987.94924030943646584406108	8000	584000.0	0	0	0	0	2164	Module	3032
Mega Beam Laser II	3826879.9702558550959248730314	16000	3229026.32	227	150	0	4877000.00	34	Module	1010
Miner II	372241.15326444773116600327955	4000	638998.96	201	1930	0	640992.99	614	Module	3032
Mjolnir Fury Cruise Missile	395.74290612840325414657924541	40.00	514.55	0	0	0	0	1025290	Charge	2460000
Mobile Small Warp Disruptor II	2317062.1280225120822346271518	52000	3438884.81	76	620	0	3438888.23	97	Deployable	473
Mobile Small Warp Disruptor II	2317062.1280225120822346271518	52000	3438884.81	76	620	0	3438888.23	97	Deployable	473
Nova Javelin Torpedo	1194.5335879954686386310992178	40.00	897.0	0	0	0	0	80798	Charge	2460000
Ogre II	1262348.2944517595362365712921	20000	1799000.0	0	0	0	0	2049	Drone	1576
Omber Mining Crystal II	174179.22970444419401896957858	8000	150172.54	0	7500	0	0	412	Charge	14783
