Name	Amount buildt	Total Value	Total Cost	Profit
10MN Afterburner II	3032	6063989842.80	4064776113.96	1999213728.84
1200mm Artillery Cannon II	2021	8892400000.0	6966690810.24	1925709189.76
150mm Railgun II	6064	5530431732.64	2487699711.74	3042732020.90
250mm Light Artillery Cannon II	6064	3031999818.08	2136122211.98	895877606.10
350mm Railgun II	2021	5618177819.16	6459012289.36	-840834470.20
650mm Artillery Cannon II	3032	4244800000.0	3431621109.09	813178890.91
Arkonor Mining Crystal II	29566	25717452912.0	6265913131.92	19451539780.08
Bistot Mining Crystal II	29566	12371394512.90	5864153695.41	6507240817.49
Co-Processor II	6064	4960331382.4	3877628624.12	1082702758.28
Crokite Mining Crystal II	29566	14782918989.16	5663269962.05	9119649027.11
Damage Control II	6064	3407940226.88	1425328437.67	1982611789.21
Dual 650mm Repeating Cannon II	2021	9094493835.95	5608986661.80	3485507174.15
Dual Light Beam Laser II	6064	3304879514.88	1931192792.51	1373686722.37
Electron Blaster Cannon II	2021	5456687651.69	5509129877.88	-52442226.19
Energized Armor Layering Membrane II	6064	2898585936.0	1986379816.04	912206119.96
Energized Kinetic Membrane II	6064	6024510443.68	2082651942.90	3941858500.78
Gleam L	3940	1240902921.20	784918756.64	455984164.56
Gravimetric ECM II	3032	4517634641.28	2285611282.09	2232023359.19
Gyrostabilizer II	6064	5336277552.0	3116251842.49	2220025709.51
Hail M	7390000	968016100.00	818162699.21	149853400.79
Hammerhead II	4730	4540797445.80	2779263451.24	1761533994.56
Hammerhead II	4730	4540797445.80	2779263451.24	1761533994.56
Heat Sink II	6064	6033673936.0	3331592919.76	2702081016.24
Heavy Beam Laser II	3032	5756321554.08	3730458453.11	2025863100.97
Heavy Electron Blaster II	3032	4399664554.4	2712644551.08	1687020003.32
Inferno Precision Cruise Missile	4925000	2556075000.0	1595664041.24	960410958.76
Inferno Rage Torpedo	4925000	12062704000.00	4810584332.11	7252119667.89
Ion Blaster Cannon II	2021	8508410000.0	6204473539.91	2303936460.09
Jaspet Mining Crystal II	29566	5735804000.0	3855348482.65	1880455517.35
Kinetic Deflection Amplifier II	3032	2392241845.04	1243557829.24	1148684015.80
Large Shield Booster II	3032	3517120000.0	2208389765.00	1308730235.00
Light Electron Blaster II	6064	2710541174.72	1587097435.50	1123443739.22
Magnetic Field Stabilizer II	6064	5854755434.08	3331983834.08	2522771600.00
Medium Armor Repairer II	3032	3941595664.24	2243598349.08	1697997315.16
Medium Cap Battery II	3032	4223269525.44	1681967187.19	2541302338.25
Medium Capacitor Booster II	3032	3332168000.0	1833350455.50	1498817544.50
